title,link
Robert Kraft wants Tom Brady to sign one-day contract to retire with Patriots: 'I'd do it tomorrow' - Yahoo Sports,https://news.google.com/rss/articles/CBMihwFodHRwczovL3Nwb3J0cy55YWhvby5jb20vcm9iZXJ0LWtyYWZ0LXdhbnRzLXRvbS1icmFkeS10by1zaWduLW9uZS1kYXktY29udHJhY3QtdG8tcmV0aXJlLXdpdGgtcGF0cmlvdHMtaWQtZG8taXQtdG9tb3Jyb3ctMTYzMTU4ODY2Lmh0bWzSAY8BaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvcm9iZXJ0LWtyYWZ0LXdhbnRzLXRvbS1icmFkeS10by1zaWduLW9uZS1kYXktY29udHJhY3QtdG8tcmV0aXJlLXdpdGgtcGF0cmlvdHMtaWQtZG8taXQtdG9tb3Jyb3ctMTYzMTU4ODY2Lmh0bWw?oc=5
Tom Brady shares rare pic with ex Bridget Moynahan and their son after retirement news - Yahoo! Voices,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LnlhaG9vLmNvbS9ub3cvdG9tLWJyYWR5LXNoYXJlcy1yYXJlLXBpYy0xNTQ4NDEyODUuaHRtbNIBR2h0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC90b20tYnJhZHktc2hhcmVzLXJhcmUtcGljLTE1NDg0MTI4NS5odG1s?oc=5
Sports world reacts to Tom Brady's retirement - ESPN,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9zdG9yeS9fL2lkLzM1NTY5MjEzL3Nwb3J0cy13b3JsZC1yZWFjdHMtdG9tLWJyYWR5LXJldGlyZW1lbnTSAWJodHRwczovL3d3dy5lc3BuLmNvbS9uZmwvc3RvcnkvXy9pZC8zNTU2OTIxMy9zcG9ydHMtd29ybGQtcmVhY3RzLXRvbS1icmFkeS1yZXRpcmVtZW50P3BsYXRmb3JtPWFtcA?oc=5
Gisele Bündchen Responds to Tom Brady Retirement 2023 After Divorce - STYLECASTER,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vc3R5bGVjYXN0ZXIuY29tL2dpc2VsZS1idW5kY2hlbi10b20tYnJhZHktcmV0aXJlL9IBAA?oc=5
Gisele Bündchen comments on Tom Brady's retirement announcement: 'Wishing you only wonderful things' - Yahoo Entertainment,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L2dpc2VsZS1idW5kY2hlbi1yZWFjdHMtdG9tLWJyYWR5LXJldGlyZW1lbnQtaW5zdGFncmFtLTE2NTUxOTU5MS5odG1s0gFwaHR0cHM6Ly93d3cueWFob28uY29tL2FtcGh0bWwvZW50ZXJ0YWlubWVudC9naXNlbGUtYnVuZGNoZW4tcmVhY3RzLXRvbS1icmFkeS1yZXRpcmVtZW50LWluc3RhZ3JhbS0xNjU1MTk1OTEuaHRtbA?oc=5
Tom Brady's Reportedly ‘Traumatizing’ Divorce From Gisele Bündchen May Have Influenced His Decision to Retire - Yahoo Life,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9saWZlc3R5bGUvdG9tLWJyYWR5cy1yZXBvcnRlZGx5LXRyYXVtYXRpemluZy1kaXZvcmNlLTE1MzYzMDc0My5odG1s0gFhaHR0cHM6Ly93d3cueWFob28uY29tL2FtcGh0bWwvbGlmZXN0eWxlL3RvbS1icmFkeXMtcmVwb3J0ZWRseS10cmF1bWF0aXppbmctZGl2b3JjZS0xNTM2MzA3NDMuaHRtbA?oc=5
Tom Brady Quietly Volunteered At A Tampa Animal Shelter Throughout Football Season - Southern Living,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnNvdXRoZXJubGl2aW5nLmNvbS90b20tYnJhZHktdGFtcGEtYW5pbWFsLXNoZWx0ZXItNzEwNDk4MtIBAA?oc=5
Tom Brady Volunteered at an Animal Shelter During Final NFL Season - PEOPLE,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vcGVvcGxlLmNvbS9zcG9ydHMvdG9tLWJyYWR5LXF1aWV0bHktdm9sdW50ZWVyZWQtYXQtYW4tYW5pbWFsLXNoZWx0ZXItZHVyaW5nLXNlYXNvbi_SAQA?oc=5
"Tom Brady quietly volunteered with his children at a Tampa Bay animal shelter last season: ""A great Dad and a true animal lover"" - CBS News",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvdG9tLWJyYWR5LWFuaW1hbC1zaGVsdGVyLXZvbHVudGVlci1odW1hbmUtc29jaWV0eS10YW1wYS1iYXkv0gFdaHR0cHM6Ly93d3cuY2JzbmV3cy5jb20vYW1wL25ld3MvdG9tLWJyYWR5LWFuaW1hbC1zaGVsdGVyLXZvbHVudGVlci1odW1hbmUtc29jaWV0eS10YW1wYS1iYXkv?oc=5
"Tom Brady always stood alone, even in his retirement choice - ESPN",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9pbnNpZGVyL3N0b3J5L18vaWQvMzU1NjkyNDMvdG9tLWJyYWR5LTIwMjMtcmV0aXJlbWVudC1uZmwtd2FzLXNvbGl0YXJ5LWNob2ljZS1xdWFydGVyYmFja9IBhwFodHRwczovL3d3dy5lc3BuLmNvbS9uZmwvaW5zaWRlci9pbnNpZGVyL3N0b3J5L18vaWQvMzU1NjkyNDMvdG9tLWJyYWR5LTIwMjMtcmV0aXJlbWVudC1uZmwtd2FzLXNvbGl0YXJ5LWNob2ljZS1xdWFydGVyYmFjaz9wbGF0Zm9ybT1hbXA?oc=5
Tom Brady to Dolphins rumors heat up again: 'Definitely on the table' - New York Post ,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzAxLzEyL3RvbS1icmFkeS10by1kb2xwaGlucy1ydW1vcnMtZGVmaW5pdGVseS1vbi10aGUtdGFibGUv0gFXaHR0cHM6Ly9ueXBvc3QuY29tLzIwMjMvMDEvMTIvdG9tLWJyYWR5LXRvLWRvbHBoaW5zLXJ1bW9ycy1kZWZpbml0ZWx5LW9uLXRoZS10YWJsZS9hbXAv?oc=5
Tom Brady and Gisele Bundchen's FTX stake will probably get wiped out - CNN,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8xMC9idXNpbmVzcy90b20tYnJhZHktZ2lzZWxlLWJ1bmRjaGVuLWZ0eC1pbnZlc3RvcnMvaW5kZXguaHRtbNIBAA?oc=5
"Shaun Alexander on Nick Saban, facing Tom Brady & why Alabama doesn’t retire numbers - AL.com",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5hbC5jb20vYWxhYmFtYWZvb3RiYWxsLzIwMjMvMDIvc2hhdW4tYWxleGFuZGVyLW9uLW5pY2stc2FiYW4tZmFjaW5nLXRvbS1icmFkeS13aHktYWxhYmFtYS1kb2VzbnQtcmV0aXJlLW51bWJlcnMuaHRtbNIBjwFodHRwczovL3d3dy5hbC5jb20vYWxhYmFtYWZvb3RiYWxsLzIwMjMvMDIvc2hhdW4tYWxleGFuZGVyLW9uLW5pY2stc2FiYW4tZmFjaW5nLXRvbS1icmFkeS13aHktYWxhYmFtYS1kb2VzbnQtcmV0aXJlLW51bWJlcnMuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5
Tom Brady Shaded by New England Patriots After Retirement - STYLECASTER,https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vc3R5bGVjYXN0ZXIuY29tL3RvbS1icmFkeS1wYXRyaW90cy_SAQA?oc=5
How Will the Tampa Bay Buccaneers Replace Tom Brady? - The New York Times,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDIvMDIvc3BvcnRzL2Zvb3RiYWxsL3RvbS1icmFkeS1yZXRpcmVtZW50LWZveC5odG1s0gFUaHR0cHM6Ly93d3cubnl0aW1lcy5jb20vMjAyMy8wMi8wMi9zcG9ydHMvZm9vdGJhbGwvdG9tLWJyYWR5LXJldGlyZW1lbnQtZm94LmFtcC5odG1s?oc=5
"Patriots will push for Tom Brady to sign one-day deal, Robert Kraft ... - The Washington Post",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9zcG9ydHMvMjAyMy8wMi8wMi90b20tYnJhZHktcGF0cmlvdHMtcm9iZXJ0LWtyYWZ0L9IBAA?oc=5
Robert Kraft wants Tom Brady to retire with the Patriots - CNBC,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDIvMDIvcm9iZXJ0LWtyYWZ0LXRvbS1icmFkeS1wYXRyaW90cy1yZXRpcmVtZW50Lmh0bWzSAVNodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8wMi8wMi9yb2JlcnQta3JhZnQtdG9tLWJyYWR5LXBhdHJpb3RzLXJldGlyZW1lbnQuaHRtbA?oc=5
Will a new Tom Brady movie score a touchdown for older audiences? - Los Angeles Times,https://news.google.com/rss/articles/CBMirgFodHRwczovL3d3dy5sYXRpbWVzLmNvbS9lbnRlcnRhaW5tZW50LWFydHMvYnVzaW5lc3Mvc3RvcnkvMjAyMy0wMi0wMi90b20tYnJhZHktODAtZm9yLWJyYWR5LXdtZS1maWZ0aC1zZWFzb24tcGFyYW1vdW50LXBpY3R1cmVzLWphbmUtZm9uZGEtbGlseS10b21saW4tcml0YS1tb3Jlbm8tc2FsbHktZmllbGTSAQA?oc=5
Sally Field Says Tom Brady Was 'Nervous' on 80 For Brady Set: 'But He Was a Natural' - Yahoo Entertainment,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L3NhbGx5LWZpZWxkLXNheXMtdG9tLWJyYWR5LTEzMDAwMDUwMC5odG1s0gFVaHR0cHM6Ly93d3cueWFob28uY29tL2FtcGh0bWwvZW50ZXJ0YWlubWVudC9zYWxseS1maWVsZC1zYXlzLXRvbS1icmFkeS0xMzAwMDA1MDAuaHRtbA?oc=5
Tom Brady Says Watching 80 For Brady with His Kids Was the 'Best ... - PEOPLE,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vcGVvcGxlLmNvbS9wYXJlbnRzL3RvbS1icmFkeS1yZWNhbGxzLXdhdGNoaW5nLTgwLWZvci1icmFkeS13aXRoLWhpcy1raWRzLWF0LXJlZC1jYXJwZXQtcHJlbWllcmUv0gEA?oc=5
Hear Robert Kraft's parting words for Tom Brady - CNN,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL3Nwb3J0cy8yMDIzLzAyLzAyL3BhdHJpb3RzLXJvYmVydC1rcmFmdC10b20tYnJhZHktbmZsLXJldGlyZW1lbnQtaW50di1jbm50bS12cHguY25u0gFyaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vdmlkZW9zL3Nwb3J0cy8yMDIzLzAyLzAyL3BhdHJpb3RzLXJvYmVydC1rcmFmdC10b20tYnJhZHktbmZsLXJldGlyZW1lbnQtaW50di1jbm50bS12cHguY25u?oc=5
Chiefs QB Patrick Mahomes gives his reason for why Tom Brady was so great - Yahoo Sports,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vc3BvcnRzLnlhaG9vLmNvbS9jaGllZnMtcWItcGF0cmljay1tYWhvbWVzLWdpdmVzLTIxMDE1NzEyNi5odG1s0gFPaHR0cHM6Ly9zcG9ydHMueWFob28uY29tL2FtcGh0bWwvY2hpZWZzLXFiLXBhdHJpY2stbWFob21lcy1naXZlcy0yMTAxNTcxMjYuaHRtbA?oc=5
Will Tom Brady re-sign with the Buccaneers for cap purposes? - NBC Sports,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vcHJvZm9vdGJhbGx0YWxrLm5iY3Nwb3J0cy5jb20vMjAyMy8wMi8wMi93aWxsLXRvbS1icmFkeS1yZS1zaWduLXdpdGgtdGhlLWJ1Y2NhbmVlcnMtZm9yLWNhcC1wdXJwb3Nlcy_SAXFodHRwczovL3Byb2Zvb3RiYWxsdGFsay5uYmNzcG9ydHMuY29tLzIwMjMvMDIvMDIvd2lsbC10b20tYnJhZHktcmUtc2lnbi13aXRoLXRoZS1idWNjYW5lZXJzLWZvci1jYXAtcHVycG9zZXMvYW1wLw?oc=5
How Gisele Bündchen Reportedly Feels About Tom Brady’s NFL Retirement - NESN,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vbmVzbi5jb20vMjAyMy8wMi9ob3ctZ2lzZWxlLWJ1bmRjaGVuLXJlcG9ydGVkbHktZmVlbHMtdG9tLWJyYWR5LW5mbC1yZXRpcmVtZW50L9IBW2h0dHBzOi8vbmVzbi5jb20vMjAyMy8wMi9ob3ctZ2lzZWxlLWJ1bmRjaGVuLXJlcG9ydGVkbHktZmVlbHMtdG9tLWJyYWR5LW5mbC1yZXRpcmVtZW50L2FtcC8?oc=5
Tom Brady says no timetable for decision after Bucs eliminated - ESPN,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9zdG9yeS9fL2lkLzM1NDY0MjI4L3RvbS1icmFkeS1zYXlzLW5vLXRhYmxlLWRlY2lzaW9uLWJ1Y3MtZWxpbWluYXRlZNIBamh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9zdG9yeS9fL2lkLzM1NDY0MjI4L3RvbS1icmFkeS1zYXlzLW5vLXRhYmxlLWRlY2lzaW9uLWJ1Y3MtZWxpbWluYXRlZD9wbGF0Zm9ybT1hbXA?oc=5
Will Raiders pivot from Tom Brady to Aaron Rodgers? - NBC Sports,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vcHJvZm9vdGJhbGx0YWxrLm5iY3Nwb3J0cy5jb20vMjAyMy8wMi8wMi93aWxsLXJhaWRlcnMtcGl2b3QtZnJvbS10b20tYnJhZHktdG8tYWFyb24tcm9kZ2Vycy_SAWhodHRwczovL3Byb2Zvb3RiYWxsdGFsay5uYmNzcG9ydHMuY29tLzIwMjMvMDIvMDIvd2lsbC1yYWlkZXJzLXBpdm90LWZyb20tdG9tLWJyYWR5LXRvLWFhcm9uLXJvZGdlcnMvYW1wLw?oc=5
"Tom Brady Diet, What Does He Eat? TB12 Method Food List, Meal ... - STYLECASTER",https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vc3R5bGVjYXN0ZXIuY29tL3RvbS1icmFkeS1kaWV0L9IBAA?oc=5
