title,soldprice,solddate,link
Shop on eBay,20.0,"Sold  Feb 1, 2023",https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
2022 Tom Brady tie-dye 10 of 25,182.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/195571992363?hash=item2d88ffc72b%3Ag%3AwlQAAOSwfs1j0hle&amdata=enc%3AAQAHAAAAoACuDANJC3LvdkrQN9DIVF8jhlkuFzySPAcumpz0GDW6Vv%2Fv4xEy33HjxbtnI0FCpVcnVioxzBGoVDHyq95haTsVMN8W3TX5YtMnNfum551ii%2FTZQBD%2BEb188qb2zdr3lpIsshiP93j3MZxxCeycrorAZ5D1A69C7vGxKqwT%2Buvz4lNuS3Ctql55K2Uqdt5mYxtygdKj8g93zEJAN3wy5zE%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
New ListingTom Brady 2012 Topps White Jersey Football Card #440 Graded PSA 9,30.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/314364900856?hash=item49319bb5f8%3Ag%3AB6IAAOSwhN5j2tQ7&amdata=enc%3AAQAHAAAAoKPiRknho9P2RKjcr3MpXkdqU5IvBfW78YoVPbF2dYJda95Hue4uqJjgSalfVEa9XhRlnTOagjgl0zI20iFBsOEm%2BKY0kFIVYkZiRXDF7beZf%2Bs7DKvVJcIT3st6L9ub%2BH52K4x6l46pXJ%2FmnuAnaWaKX%2Fzu2rX%2FLM8qKIcNEBa%2BU5aaeoMI39SOvKLPzuPmYu1HQO51n8YJLacgVEZmENY%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
Tom Brady #2 Sketch Card Print Edward Vela,4.75,"Sold  Feb 1, 2023",https://www.ebay.com/itm/364125166983?hash=item54c78d1d87%3Ag%3A%7EG4AAOSwwXxj1LsS&amdata=enc%3AAQAHAAAAoGm3QrM1os%2BhAJkH7R4yQTNtp%2BWeQDIpJdsmYHMZedfza6MFllHZIgVSnzBDxYQyZKnKKqI5BBvDYGsuA5tuqoD1VxaW6GmZbee8KlMaD9iFdSXXMAkb%2FjchA%2B9cssimTmpJqoegg54Ndde4kIMNMHyfQ6s914jqsSAgUcBVWUN5oF9MAPuK9DGVVqA2SkVtXb%2Bk3Rifc4V%2FbFAJ9RmDIbE%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
Tom Brady #104 Sketch Card Limited 35/50 Edward Vela Signed,6.5,"Sold  Feb 1, 2023",https://www.ebay.com/itm/364125164957?hash=item54c78d159d%3Ag%3A2qAAAOSw0kFj1Lnm&amdata=enc%3AAQAHAAAAoGonNgMKDqfRf1dISTP4BGCXZojwjfb1A8TC71YMLk8fcRn%2BzQd7ePfUHiYGRL4rRHPsBxVL2kzMmNndIq0bT1A7kMdnX83nSVUjmjWUGhN4sPPWyjYoQCH23Cd%2BOko5SZsrLjs5Ne3FPTZE%2FSYG7zzNSEaE7jV5kwBOaaJ6aSzLxzMPm3nPVPRv0V8DLlmO2zFM4oW9qFaOUFpYFZNPcxE%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
2020 Panini Mosaic #135 Tom Brady Tampa Bay Buccaneers PSA 10 Gem (6973) (JJ),45.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/255941775275?hash=item3b97518fab%3Ag%3APfsAAOSwBsNjvjbd&amdata=enc%3AAQAHAAAAoDm51UdPMojeHbsK5NQr%2BUAFTf5GGNVqDIjkZWCibJYi0v%2F7y5Q1UWudhrNizUkp2uHktwTP4mMeoNLov7dnUuZ7JFJWutOMCmobM6Aacc9tKX%2BWntkJEbvpIaJQxL%2BU6d%2FG%2F8Ogp1HSKo%2FWb4mVI8VP94%2FWbX6sXAGIuk8gjnGMAj8v0u3f9fKeoVdIKY4DFavZLfkbfQVxw75urw6vebY%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
2021 Panini Donruss Optic Trevor Lawrence Rated Rookie Silver Holo Prizm RC #201,86.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/354546979494?hash=item528ca592a6%3Ag%3AEhkAAOSwaYpj1KkM&amdata=enc%3AAQAHAAAAoBgG8VUNT6Ula%2B58uI%2FfUKbCAlWxaR9lCEV8oSTehnHDUGZtyce%2BuaCwEnPGtzXvyZlvzmcs%2Bz2RMaNifRdH0q94TZf1xrA0BFcXWW6atSZA5mEedMdi%2BFf6nEOzr6gl6uHF1EhKPTnzf7Fb%2F2%2FAWHlo85CpdSHybBEe5dxUktpan9aLFngCx5n7RbQF%2Fq6bqNetjeX%2FG23l8ShasTGKXCY%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
2022 Panini Mosaic Football Pink Camo Prizm National Pride Tom Brady #251,2.25,"Sold  Feb 1, 2023",https://www.ebay.com/itm/354546975320?hash=item528ca58258%3Ag%3A3tEAAOSwaIhj1Kts&amdata=enc%3AAQAHAAAAoKqwlwOzPPFcViYmun%2FQ9KiASkiLn5Nuv1elNWx4UgU9z9W7Hhl2OJu1uWlxclK%2BaTXXD6Ic6XvoU2sYp9%2BwC8w%2BxksegGQJ5YOpwCq0mfZWsxpXQo6opqgF5mzxXd6VV83%2BaSj6MXTPFPaLh5SLZopejyC90Uta2aUwXueBsxreCFyJMeLBVl8sF6naXuQW6EiQrtGvuEfBiyjd4PtIZ7E%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
Tom Brady Tampa Bay Buccaneers #12 Adult Men XXL Jersey Nike dry fit NWT,85.0,"Sold  Feb 1, 2023",https://www.ebay.com/itm/325516117692?hash=item4bca45c6bc%3Ag%3AeFkAAOSwtsZizc%7E2&amdata=enc%3AAQAHAAAAoHIYmL8nVMlnC0oNl7spUoK%2BEN%2BJpzbl5XYbdnTi%2B%2Bhsbt8aYirJOIylkLFruTxrO0kpJWONIcR%2FUNv%2FKwGY2vZqWXqemrYfyYpvJdG9ximKrbHJYjpkhO6IDE4aCPncCGd%2F2EzFI%2BPSDwXSBFwrLBAeEk1hU0HFKwzejoaOZ%2BaNBsu2ix9YBpSmonr0pJ%2BX9LXP%2FW432FUi5ij5f2REp1M%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
2016 Donruss Football Production Line Touchdowns Tom Brady Patriots,0.99,"Sold  Feb 1, 2023",https://www.ebay.com/itm/185751205169?hash=item2b3fa27531%3Ag%3AykwAAOSwTjVjv53h&amdata=enc%3AAQAHAAAAoHsJpQWpcaVptvRTOzG%2BIYXGHGbPDwI4HM667ehNLhtNxLs3ziBohfqFeUNE3GHr1BX3XVctUNZyPm75uAzFxS67KY%2FoZzdNYfCGsjcQcz2OnCNu9jmrffsH7MDliH0MSGE8gaf4CnyGk2wD%2FtWZ4Ca6pLoMdomicBslGimQ11ZEWVCzO2SRmLb5%2F2KjSBLD%2F%2Fk5XFnVDV4xFyUAnz3uPwI%3D%7Ctkp%3ABk9SR6yH8YzCYQ&LH_Auction=1
